
READ_STR    W " can't read string from configuration file %s"
E_NOT_INIT    W " STP module not initialized"
E_WRONG_ID    W " wrong module id read from STP device - check IO base address"
E_MOD_BUSY    W " status BUSY on attempt to write to STP device"
E_MOD_ERR     W " status ERROR after writing to STP device - STP status = 0x%x"
E_WRONG_REG   W " wrong STP register used in set_parameter"
E_WRONG_WL    W " new position value out of range in STP library function"
E_NOT_CAL     W " unknown current position in STP library function"
E_MOT_OFF     W " requested motor is switched off- change STP configuration file"
E_WRONG_ST    W " steps value out of current possible range in STP library function"
E_STEP_ON     W " can't execute STP library function while stepping is in progress"
E_STEP_ERR    W " error during stepping in STP device - STP status = 0x%x"
E_NOT_DEV     W " no device  connected with motor"
E_MOT_NO_SWITCH W " motor has no limit switch"
E_WRONG_PHASES W "Can't use step. device- sum of phases for both motors > 8 "
E_SAME_DEVICE W " Can't use step. device-the same device used by both motors"
E_MOT_NOT_USED W " requested motor is not used- change STP configuration file"

SCT_WRONG_ID  W " wrong module id read from SCT device - check IO base address"

GM_NOT_ALLOC  E " Cannot allocate global memory buffer for simulation"
SET_STATUS    E " Cannot set required SPC status"
ABORT_MEAS    E " Abnormal measurement termination"
HDR_LENGTH    W " Measurement Info block in file  %s is too long"
READ_RATE     E " Cannot get new rate values"
WRONG_SOFT    E " This program cannot control %s module"

